Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Scenario,Mobility
2026.01.30_17.30.10,86.878942,23.717009,405840,4G,-72,0,96,bike,vehicular
2026.01.30_17.30.10,86.879148,23.717226,405840,4G,-72,0,72,bike,vehicular
2026.01.30_17.30.11,86.879148,23.717226,405840,4G,-77,0,72,bike,vehicular
2026.01.30_17.30.12,86.879148,23.717226,405840,4G,-77,0,72,bike,vehicular
2026.01.30_17.30.13,86.879148,23.717226,405840,4G,-77,0,72,bike,vehicular
2026.01.30_17.30.14,86.879148,23.717226,405840,4G,-73,0,72,bike,vehicular
2026.01.30_17.30.15,86.879148,23.717226,405840,4G,-73,0,72,bike,vehicular
2026.01.30_17.30.16,86.879148,23.717226,405840,4G,-77,0,72,bike,vehicular
2026.01.30_17.30.16,86.879214,23.717225,405840,4G,-77,1,73,bike,vehicular
2026.01.30_17.30.17,86.879214,23.717225,405840,4G,-77,1,73,bike,vehicular
2026.01.30_17.30.18,86.879214,23.717225,405840,4G,-81,1,73,bike,vehicular
2026.01.30_17.30.19,86.879214,23.717225,405840,4G,-81,1,73,bike,vehicular
2026.01.30_17.30.20,86.879214,23.717225,405840,4G,-72,1,73,bike,vehicular
2026.01.30_17.30.21,86.879214,23.717225,405840,4G,-72,1,73,bike,vehicular
2026.01.30_17.30.22,86.879214,23.717225,405840,4G,-69,1,73,bike,vehicular
2026.01.30_17.30.23,86.879214,23.717225,405840,4G,-69,1,73,bike,vehicular
2026.01.30_17.30.24,86.879214,23.717225,405840,4G,-69,1,73,bike,vehicular
2026.01.30_17.30.25,86.879214,23.717225,405840,4G,-69,1,73,bike,vehicular
2026.01.30_17.30.25,86.879214,23.717225,405840,4G,-69,1,73,bike,vehicular
2026.01.30_17.30.25,86.879214,23.717225,405840,4G,-71,1,73,bike,vehicular
2026.01.30_17.30.26,86.879201,23.717276,405840,4G,-71,6,76,bike,vehicular
2026.01.30_17.30.26,86.879201,23.717276,405840,4G,-71,6,76,bike,vehicular
2026.01.30_17.30.27,86.879201,23.717276,405840,4G,-71,6,76,bike,vehicular
2026.01.30_17.30.28,86.87915,23.7173,405840,4G,-71,9,79,bike,vehicular
2026.01.30_17.30.28,86.87915,23.7173,405840,4G,-71,9,79,bike,vehicular
2026.01.30_17.30.29,86.87915,23.7173,405840,4G,-71,9,79,bike,vehicular
2026.01.30_17.30.30,86.879089,23.717326,405840,4G,-71,7,82,bike,vehicular
2026.01.30_17.30.30,86.879089,23.717326,405840,4G,-71,7,82,bike,vehicular
2026.01.30_17.30.31,86.879089,23.717326,405840,4G,-71,7,82,bike,vehicular
2026.01.30_17.30.32,86.879025,23.717345,405840,4G,-71,9,82,bike,vehicular
2026.01.30_17.30.32,86.879025,23.717345,405840,4G,-71,9,82,bike,vehicular
2026.01.30_17.30.33,86.879025,23.717345,405840,4G,-71,9,82,bike,vehicular
2026.01.30_17.30.34,86.878961,23.717365,405840,4G,-71,10,82,bike,vehicular
2026.01.30_17.30.34,86.878961,23.717365,405840,4G,-71,10,82,bike,vehicular
2026.01.30_17.30.35,86.878961,23.717365,405840,4G,-86,10,82,bike,vehicular
2026.01.30_17.30.36,86.878885,23.71739,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.36,86.878885,23.71739,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.37,86.878885,23.71739,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.38,86.87881,23.717415,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.38,86.87881,23.717415,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.39,86.87881,23.717415,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.40,86.878758,23.717438,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.40,86.878758,23.717438,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.41,86.878758,23.717438,405840,4G,-86,11,83,bike,vehicular
2026.01.30_17.30.42,86.878696,23.717471,405840,4G,-86,10,83,bike,vehicular
2026.01.30_17.30.42,86.878696,23.717471,405840,4G,-86,10,83,bike,vehicular
2026.01.30_17.30.43,86.878696,23.717471,405840,4G,-86,10,83,bike,vehicular
2026.01.30_17.30.44,86.878643,23.717491,405840,4G,-86,8,83,bike,vehicular
2026.01.30_17.30.44,86.878643,23.717491,405840,4G,-86,8,83,bike,vehicular
2026.01.30_17.30.45,86.878643,23.717491,405840,4G,-98,8,83,bike,vehicular
2026.01.30_17.30.46,86.878643,23.717491,405840,4G,-98,8,83,bike,vehicular
2026.01.30_17.30.47,86.878578,23.717516,405840,4G,-98,6,82,bike,vehicular
2026.01.30_17.30.47,86.878578,23.717516,405840,4G,-98,6,82,bike,vehicular
2026.01.30_17.30.49,86.878578,23.717516,405840,4G,-98,6,82,bike,vehicular
2026.01.30_17.30.49,86.878578,23.717516,405840,4G,-91,6,82,bike,vehicular
2026.01.30_17.30.50,86.878518,23.717548,405840,4G,-91,6,83,bike,vehicular
2026.01.30_17.30.50,86.878518,23.717548,405840,4G,-91,6,83,bike,vehicular
2026.01.30_17.30.51,86.878518,23.717548,405840,4G,-90,6,83,bike,vehicular
2026.01.30_17.30.52,86.878438,23.71757,405840,4G,-90,8,82,bike,vehicular
2026.01.30_17.30.52,86.878438,23.71757,405840,4G,-90,8,82,bike,vehicular
2026.01.30_17.30.53,86.878438,23.71757,405840,4G,-89,8,82,bike,vehicular
2026.01.30_17.30.54,86.878349,23.717583,405840,4G,-89,9,82,bike,vehicular
2026.01.30_17.30.54,86.878349,23.717583,405840,4G,-89,9,82,bike,vehicular
2026.01.30_17.30.55,86.878349,23.717583,405840,4G,-93,9,82,bike,vehicular
2026.01.30_17.30.56,86.878265,23.717601,405840,4G,-93,11,82,bike,vehicular
2026.01.30_17.30.56,86.878265,23.717601,405840,4G,-93,11,82,bike,vehicular
2026.01.30_17.30.57,86.878265,23.717601,405840,4G,-94,11,82,bike,vehicular
2026.01.30_17.30.58,86.878186,23.71762,405840,4G,-94,13,82,bike,vehicular
2026.01.30_17.30.58,86.878186,23.71762,405840,4G,-94,13,82,bike,vehicular
2026.01.30_17.30.59,86.878186,23.71762,405840,4G,-87,13,82,bike,vehicular
2026.01.30_17.31.00,86.87812,23.717646,405840,4G,-87,13,82,bike,vehicular
2026.01.30_17.31.00,86.87812,23.717646,405840,4G,-87,13,82,bike,vehicular
2026.01.30_17.31.01,86.87812,23.717646,405840,4G,-84,13,82,bike,vehicular
2026.01.30_17.31.02,86.878056,23.717671,405840,4G,-84,13,82,bike,vehicular
2026.01.30_17.31.02,86.878056,23.717671,405840,4G,-84,13,82,bike,vehicular
2026.01.30_17.31.03,86.878056,23.717671,405840,4G,-88,13,82,bike,vehicular
2026.01.30_17.31.04,86.87798,23.717685,405840,4G,-88,13,82,bike,vehicular
2026.01.30_17.31.04,86.87798,23.717685,405840,4G,-88,13,82,bike,vehicular
2026.01.30_17.31.05,86.87798,23.717685,405840,4G,-89,13,82,bike,vehicular
2026.01.30_17.31.06,86.87789,23.717713,405840,4G,-89,14,81,bike,vehicular
2026.01.30_17.31.06,86.87789,23.717713,405840,4G,-89,14,81,bike,vehicular
2026.01.30_17.31.07,86.877843,23.71773,405840,4G,-89,14,81,bike,vehicular
2026.01.30_17.31.07,86.877843,23.71773,405840,4G,-88,14,81,bike,vehicular
2026.01.30_17.31.08,86.877781,23.717741,405840,4G,-88,15,80,bike,vehicular
2026.01.30_17.31.08,86.877781,23.717741,405840,4G,-88,15,80,bike,vehicular
2026.01.30_17.31.09,86.877723,23.717763,405840,4G,-88,16,80,bike,vehicular
2026.01.30_17.31.09,86.877723,23.717763,405840,4G,-88,16,80,bike,vehicular
2026.01.30_17.31.10,86.877666,23.717783,405840,4G,-88,17,79,bike,vehicular
2026.01.30_17.31.10,86.877666,23.717783,405840,4G,-88,17,79,bike,vehicular
2026.01.30_17.31.11,86.87761,23.7178,405840,4G,-88,18,79,bike,vehicular
2026.01.30_17.31.11,86.87761,23.7178,405840,4G,-82,18,79,bike,vehicular
2026.01.30_17.31.12,86.877548,23.717815,405840,4G,-82,19,78,bike,vehicular
2026.01.30_17.31.12,86.877548,23.717815,405840,4G,-82,19,78,bike,vehicular
2026.01.30_17.31.13,86.877486,23.717836,405840,4G,-82,20,79,bike,vehicular
2026.01.30_17.31.13,86.877486,23.717836,405840,4G,-86,20,79,bike,vehicular
2026.01.30_17.31.14,86.877425,23.717853,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.14,86.877425,23.717853,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.15,86.87737,23.717866,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.15,86.87737,23.717866,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.16,86.87732,23.717879,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.16,86.87732,23.717879,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.17,86.877268,23.717895,405840,4G,-86,21,79,bike,vehicular
2026.01.30_17.31.17,86.877268,23.717895,405840,4G,-84,21,79,bike,vehicular
2026.01.30_17.31.18,86.877218,23.717913,405840,4G,-84,21,78,bike,vehicular
2026.01.30_17.31.19,86.877218,23.717913,405840,4G,-84,21,78,bike,vehicular
2026.01.30_17.31.19,86.877168,23.717936,405840,4G,-84,21,79,bike,vehicular
2026.01.30_17.31.19,86.877168,23.717936,405840,4G,-80,21,79,bike,vehicular
2026.01.30_17.31.20,86.877114,23.717955,405840,4G,-80,21,78,bike,vehicular
2026.01.30_17.31.21,86.877114,23.717955,405840,4G,-80,21,78,bike,vehicular
2026.01.30_17.31.21,86.877056,23.717971,405840,4G,-80,21,78,bike,vehicular
2026.01.30_17.31.21,86.877056,23.717971,405840,4G,-83,21,78,bike,vehicular
