Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Scenario,Mobility
2026.01.31_16.37.17,86.874601,23.712978,405840,4G,-90,0,86,outdoor,pedestrian
2026.01.31_16.37.18,86.874601,23.712978,405840,4G,-99,0,86,outdoor,pedestrian
2026.01.31_16.37.20,86.874601,23.712978,405840,4G,-99,0,86,outdoor,pedestrian
2026.01.31_16.37.21,86.874601,23.712978,405840,4G,-91,0,86,outdoor,pedestrian
2026.01.31_16.37.22,86.874601,23.712978,405840,4G,-91,0,86,outdoor,pedestrian
2026.01.31_16.37.23,86.874601,23.712978,405840,4G,-93,0,86,outdoor,pedestrian
2026.01.31_16.37.23,86.874611,23.712933,405840,4G,-93,2,89,outdoor,pedestrian
2026.01.31_16.37.25,86.874611,23.712933,405840,4G,-93,2,89,outdoor,pedestrian
2026.01.31_16.37.26,86.874611,23.712933,405840,4G,-94,2,89,outdoor,pedestrian
2026.01.31_16.37.28,86.874611,23.712933,405840,4G,-94,2,89,outdoor,pedestrian
2026.01.31_16.37.29,86.874593,23.712881,405840,4G,-94,4,87,outdoor,pedestrian
2026.01.31_16.37.29,86.874593,23.712881,405840,4G,-94,4,87,outdoor,pedestrian
2026.01.31_16.37.30,86.874593,23.712881,405840,4G,-94,4,87,outdoor,pedestrian
2026.01.31_16.37.31,86.874593,23.712881,405840,4G,-92,4,87,outdoor,pedestrian
2026.01.31_16.37.31,86.874593,23.712881,405840,4G,-92,4,87,outdoor,pedestrian
2026.01.31_16.37.32,86.874593,23.712881,405840,4G,-86,4,87,outdoor,pedestrian
2026.01.31_16.37.33,86.874559,23.712836,405840,4G,-86,3,87,outdoor,pedestrian
2026.01.31_16.37.33,86.874559,23.712836,405840,4G,-86,3,87,outdoor,pedestrian
2026.01.31_16.37.34,86.874559,23.712836,405840,4G,-85,3,87,outdoor,pedestrian
2026.01.31_16.37.35,86.874559,23.712836,405840,4G,-85,3,87,outdoor,pedestrian
2026.01.31_16.37.37,86.874524,23.712798,405840,4G,-85,4,86,outdoor,pedestrian
2026.01.31_16.37.37,86.874524,23.712798,405840,4G,-85,4,86,outdoor,pedestrian
2026.01.31_16.37.38,86.874524,23.712798,405840,4G,-89,4,86,outdoor,pedestrian
2026.01.31_16.37.39,86.874524,23.712798,405840,4G,-89,4,86,outdoor,pedestrian
2026.01.31_16.37.40,86.874524,23.712798,405840,4G,-83,4,86,outdoor,pedestrian
2026.01.31_16.37.41,86.874524,23.712798,405840,4G,-83,4,86,outdoor,pedestrian
2026.01.31_16.37.42,86.874493,23.712756,405840,4G,-83,4,85,outdoor,pedestrian
2026.01.31_16.37.42,86.874493,23.712756,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.44,86.874493,23.712756,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.45,86.874493,23.712756,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.46,86.874446,23.712738,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.46,86.874446,23.712738,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.47,86.874446,23.712738,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.48,86.874446,23.712738,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.49,86.874446,23.712738,405840,4G,-88,4,85,outdoor,pedestrian
2026.01.31_16.37.50,86.874391,23.712735,405840,4G,-88,4,84,outdoor,pedestrian
2026.01.31_16.37.50,86.874391,23.712735,405840,4G,-88,4,84,outdoor,pedestrian
2026.01.31_16.37.51,86.874391,23.712735,405840,4G,-88,4,84,outdoor,pedestrian
2026.01.31_16.37.52,86.874391,23.712735,405840,4G,-88,4,84,outdoor,pedestrian
2026.01.31_16.37.53,86.874343,23.712719,405840,4G,-88,4,84,outdoor,pedestrian
2026.01.31_16.37.53,86.874343,23.712719,405840,4G,-91,4,84,outdoor,pedestrian
2026.01.31_16.37.54,86.874343,23.712719,405840,4G,-91,4,84,outdoor,pedestrian
2026.01.31_16.37.55,86.874343,23.712719,405840,4G,-91,4,84,outdoor,pedestrian
2026.01.31_16.37.56,86.874343,23.712719,405840,4G,-91,4,84,outdoor,pedestrian
2026.01.31_16.37.57,86.874283,23.7127,405840,4G,-91,6,81,outdoor,pedestrian
2026.01.31_16.37.57,86.874283,23.7127,405840,4G,-91,6,81,outdoor,pedestrian
2026.01.31_16.37.58,86.874283,23.7127,405840,4G,-91,6,81,outdoor,pedestrian
2026.01.31_16.37.59,86.874283,23.7127,405840,4G,-91,6,81,outdoor,pedestrian
2026.01.31_16.38.00,86.874283,23.7127,405840,4G,-91,6,81,outdoor,pedestrian
2026.01.31_16.38.01,86.874226,23.7127,405840,4G,-91,6,78,outdoor,pedestrian
